"movie_id","genre_id"
"693134","878"
"693134","12"
"1011985","16"
"1011985","28"
"1011985","12"
"1011985","35"
"1011985","10751"
"823464","28"
"823464","878"
"823464","12"
"823464","14"
"438631","878"
"438631","12"
"359410","28"
"359410","53"
"792307","878"
"792307","10749"
"792307","35"
"634492","28"
"634492","14"
"1083658","18"
"872585","18"
"872585","36"
"967847","14"
"967847","12"
"967847","35"
"437342","27"
"763215","14"
"763215","28"
"763215","12"
"1127166","10749"
"1127166","18"
"929590","28"
"929590","10752"
"929590","53"
"1125311","27"
"1125311","9648"
"1125311","53"
"984324","28"
"984324","53"
"845783","27"
"845783","53"
"1022796","16"
"1022796","10751"
"1022796","14"
"1022796","12"
"560016","28"
"560016","53"
"866398","28"
"866398","53"
"866398","18"
"978592","18"
"978592","53"
"978592","9648"
"915935","53"
"915935","9648"
"915935","80"
"787699","35"
"787699","10751"
"787699","14"
"848538","28"
"848538","12"
"848538","35"
"572802","28"
"572802","12"
"572802","14"
"802219","10402"
"802219","36"
"802219","18"
"695721","18"
"695721","878"
"695721","28"
"968441","10749"
"968441","35"
"968441","10402"
"972614","53"
"972614","80"
"467244","36"
"467244","18"
"467244","10752"
"1181548","28"
"1181548","9648"
"1181548","53"
"889737","18"
"889737","80"
"889737","53"
"975773","35"
"975773","18"
"1017633","10749"
"1017633","35"
"1072790","10749"
"1072790","35"
"969492","28"
"969492","53"
"969492","10752"
"9502","28"
"9502","12"
"9502","16"
"9502","10751"
"9502","35"
"346698","35"
"346698","12"
"857655","18"
"508883","16"
"508883","12"
"508883","14"
"1037113","35"
"976893","18"
"399566","28"
"399566","878"
"399566","53"
"157336","12"
"157336","18"
"157336","878"
"671","12"
"671","14"
"927107","28"
"927107","53"
"11","12"
"11","28"
"11","878"
"129","16"
"129","10751"
"129","14"
"475557","80"
"475557","53"
"475557","18"
"850165","18"
"850165","36"
"940551","16"
"940551","28"
"940551","12"
"940551","35"
"940551","10751"
"313369","35"
"313369","18"
"313369","10749"
"313369","10402"
"365620","36"
"365620","18"
"653346","878"
"653346","12"
"653346","28"
"124905","28"
"124905","18"
"124905","878"
"609681","878"
"609681","12"
"609681","28"
"353616","35"
"353616","10402"
"940721","878"
"940721","27"
"940721","28"
"348","27"
"348","878"
"838209","9648"
"838209","27"
"838209","53"
"636706","878"
"636706","12"
"636706","18"
"1005576","28"
"845111","12"
"845111","28"
"845111","18"
"140300","28"
"140300","12"
"140300","16"
"140300","35"
"140300","10751"
"19995","28"
"19995","12"
"19995","14"
"19995","878"
"49444","16"
"49444","10751"
"49444","35"
"837335","12"
